AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
16,GOVT,M,OBC,67945,LABOUR,NO,62,4,YES,4,RURAL,Y
13,GOVT,M,GEN,113933,LABOUR,YES,55,2,NO,3,URBAN,Y
16,PVT,F,GEN,242821,ACCOUNTANT,NO,81,1,NO,9,URBAN,N
18,GOVT,M,OBC,132307,LABOUR,NO,67,2,YES,9,RURAL,Y
16,GOVT,F,SC,90537,TEACHER,NO,84,2,YES,5,URBAN,N
18,PVT,F,GEN,283917,OTHERS,NO,89,1,NO,10,RURAL,N
12,GOVT,M,OBC,131177,LABOUR,NO,77,4,YES,3,RURAL,Y
17,PVT,F,GEN,286489,FARMER,YES,85,1,NO,9,URBAN,N
12,GOVT,M,OBC,59000,LABOUR,NO,65,4,YES,4,RURAL,Y
17,GOVT,M,ST,112046,LABOUR,YES,55,2,YES,4,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
17,GOVT,F,OBC,116909,OTHERS,NO,63,1,NO,4,RURAL,Y
18,GOVT,M,OBC,100188,ACCOUNTANT,NO,59,2,YES,12,RURAL,N
15,GOVT,M,SC,133984,FARMER,NO,87,2,YES,10,RURAL,N
15,GOVT,M,ST,60045,LABOUR,YES,55,4,YES,3,RURAL,Y
12,GOVT,M,GEN,108120,LABOUR,NO,77,5,NO,3,RURAL,Y
11,GOVT,F,GEN,125377,LABOUR,NO,55,3,YES,11,RURAL,Y
13,GOVT,F,GEN,99430,LABOUR,NO,76,2,NO,3,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,YES,87,1,NO,10,URBAN,N
13,GOVT,F,SC,96407,LABOUR,NO,58,2,NO,3,URBAN,N
15,PVT,F,GEN,203036,OTHERS,NO,87,2,NO,10,URBAN,N
18,GOVT,M,OBC,101304,TEACHER,NO,63,3,YES,4,RURAL,Y
16,PVT,F,GEN,161344,ACCOUNTANT,YES,66,2,NO,8,RURAL,N
14,GOVT,M,OBC,75409,FARMER,NO,66,4,YES,3,RURAL,Y
17,GOVT,M,GEN,152558,ACCOUNTANT,YES,86,2,NO,8,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,YES,84,2,NO,8,URBAN,N
13,GOVT,M,ST,114402,LABOUR,YES,56,5,YES,5,RURAL,Y
16,PVT,F,GEN,251606,ACCOUNTANT,YES,81,2,NO,9,URBAN,N
18,PVT,F,GEN,270693,ACCOUNTANT,NO,89,2,YES,7,RURAL,N
16,GOVT,M,GEN,71136,LABOUR,NO,63,3,NO,3,URBAN,Y
18,PVT,F,GEN,112165,LABOUR,NO,88,2,NO,7,RURAL,N
13,GOVT,M,SC,116999,LABOUR,YES,59,5,YES,3,RURAL,Y
15,GOVT,M,GEN,107714,OTHERS,NO,59,3,YES,4,URBAN,Y
12,GOVT,M,ST,101883,LABOUR,NO,64,5,YES,4,RURAL,Y
18,GOVT,F,SC,62094,LABOUR,NO,75,3,YES,9,URBAN,N
16,PVT,F,GEN,132995,OTHERS,YES,89,2,NO,9,RURAL,N
14,GOVT,M,OBC,65426,TEACHER,NO,65,3,YES,4,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,86,1,NO,8,URBAN,N
16,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,8,URBAN,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,RURAL,N
13,GOVT,M,ST,59000,LABOUR,YES,59,4,NO,3,URBAN,Y
18,GOVT,M,ST,115445,LABOUR,NO,67,1,NO,4,RURAL,Y
13,GOVT,M,SC,59000,TEACHER,NO,58,4,YES,3,RURAL,Y
18,GOVT,F,GEN,109455,BUSINESS,NO,87,1,NO,10,URBAN,N
18,PVT,F,GEN,201218,ACCOUNTANT,NO,87,2,NO,10,URBAN,N
17,GOVT,M,OBC,104053,FARMER,YES,73,1,YES,10,RURAL,Y
18,PVT,M,GEN,77551,LABOUR,YES,83,3,NO,10,RURAL,Y
18,PVT,F,OBC,283067,ACCOUNTANT,YES,86,1,NO,8,URBAN,N
14,GOVT,M,ST,95166,LABOUR,NO,76,4,YES,4,RURAL,Y
9,GOVT,M,GEN,62013,LABOUR,YES,61,4,NO,3,RURAL,Y
12,GOVT,F,SC,59000,OTHERS,NO,63,4,YES,3,RURAL,Y
17,PVT,M,GEN,82221,LABOUR,YES,64,1,NO,5,URBAN,N
17,GOVT,M,SC,97199,TEACHER,NO,62,1,NO,3,URBAN,Y
15,PVT,M,GEN,289529,LABOUR,YES,86,4,NO,10,URBAN,N
18,PVT,F,GEN,231878,BUSINESS,NO,89,1,NO,9,URBAN,N
9,GOVT,M,OBC,111466,OTHERS,NO,55,5,YES,4,URBAN,Y
18,PVT,F,GEN,213165,BUSINESS,NO,89,1,NO,9,URBAN,N
17,GOVT,F,GEN,116464,BUSINESS,NO,66,2,YES,10,URBAN,N
13,GOVT,M,OBC,96892,OTHERS,NO,74,2,YES,3,URBAN,Y
14,GOVT,M,SC,108124,LABOUR,NO,56,4,YES,5,RURAL,Y
14,PVT,M,GEN,64773,LABOUR,NO,55,4,NO,3,URBAN,Y
10,GOVT,M,SC,69795,FARMER,YES,55,3,YES,4,RURAL,Y
18,PVT,M,GEN,284185,ACCOUNTANT,NO,89,1,YES,10,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,NO,88,2,NO,9,URBAN,N
13,GOVT,M,ST,69327,LABOUR,NO,67,4,YES,5,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,74,2,NO,9,URBAN,N
16,GOVT,M,SC,59000,OTHERS,NO,55,5,YES,4,RURAL,Y
18,PVT,F,OBC,300000,LABOUR,NO,64,1,NO,9,URBAN,N
18,PVT,F,GEN,186524,TEACHER,NO,84,1,NO,7,RURAL,N
18,GOVT,M,GEN,95147,LABOUR,YES,73,2,YES,4,RURAL,Y
17,GOVT,M,SC,111586,OTHERS,YES,74,3,NO,4,RURAL,Y
13,GOVT,M,SC,77581,LABOUR,NO,70,5,YES,3,URBAN,Y
17,PVT,M,GEN,141352,BUSINESS,YES,79,1,YES,3,URBAN,N
14,GOVT,M,OBC,59000,LABOUR,NO,60,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,YES,87,2,NO,9,URBAN,N
18,PVT,F,GEN,277522,ACCOUNTANT,YES,89,1,NO,7,RURAL,N
13,GOVT,M,OBC,101614,LABOUR,NO,56,3,YES,4,RURAL,Y
18,PVT,F,GEN,235434,ACCOUNTANT,NO,87,3,NO,10,URBAN,N
12,GOVT,M,OBC,91841,TEACHER,YES,55,4,YES,4,URBAN,Y
13,GOVT,M,GEN,74919,TEACHER,NO,63,5,NO,4,RURAL,Y
16,GOVT,M,ST,112202,LABOUR,NO,59,3,NO,4,RURAL,Y
18,PVT,F,GEN,234659,TEACHER,NO,70,1,NO,11,URBAN,N
17,GOVT,M,SC,224313,LABOUR,NO,59,3,YES,5,RURAL,Y
15,GOVT,M,OBC,59000,OTHERS,NO,66,5,YES,5,RURAL,Y
18,PVT,F,GEN,217687,ACCOUNTANT,YES,89,1,NO,9,URBAN,N
11,GOVT,M,OBC,300000,OTHERS,NO,67,1,YES,12,RURAL,N
18,PVT,F,GEN,80714,ACCOUNTANT,NO,88,1,NO,9,URBAN,N
15,GOVT,M,OBC,84458,FARMER,NO,68,5,YES,3,RURAL,Y
14,GOVT,M,OBC,124295,FARMER,NO,62,2,YES,9,RURAL,Y
18,GOVT,F,GEN,137478,OTHERS,NO,69,2,YES,11,RURAL,N
16,PVT,F,GEN,277623,BUSINESS,NO,89,2,NO,8,URBAN,N
11,GOVT,M,OBC,60646,LABOUR,NO,59,4,YES,3,RURAL,Y
15,PVT,F,GEN,300000,ACCOUNTANT,NO,86,2,NO,8,URBAN,N
16,PVT,F,GEN,300000,ACCOUNTANT,NO,83,1,YES,11,RURAL,N
17,PVT,F,GEN,242908,ACCOUNTANT,NO,89,2,NO,10,RURAL,N
18,PVT,M,GEN,114657,OTHERS,YES,60,2,YES,10,RURAL,Y
10,GOVT,M,ST,115755,OTHERS,NO,65,3,YES,10,RURAL,Y
16,PVT,F,GEN,300000,BUSINESS,NO,84,2,NO,9,URBAN,N
17,GOVT,M,GEN,59000,LABOUR,NO,55,4,YES,11,RURAL,Y
16,GOVT,M,SC,78754,OTHERS,YES,55,2,YES,4,RURAL,Y
14,GOVT,F,OBC,97919,TEACHER,NO,61,4,YES,3,RURAL,Y
10,GOVT,M,ST,106772,FARMER,YES,60,4,NO,3,RURAL,Y
15,GOVT,M,SC,136906,FARMER,NO,70,1,YES,10,RURAL,Y
18,PVT,F,GEN,200547,BUSINESS,YES,86,1,NO,8,URBAN,N
18,PVT,M,GEN,229676,BUSINESS,NO,83,1,NO,10,URBAN,N
18,GOVT,F,GEN,157789,ACCOUNTANT,YES,76,2,NO,11,RURAL,Y
16,PVT,F,GEN,280226,ACCOUNTANT,NO,75,2,NO,8,URBAN,N
18,PVT,F,GEN,160565,ACCOUNTANT,YES,88,2,NO,8,URBAN,N
14,GOVT,M,OBC,59000,LABOUR,NO,60,5,YES,4,RURAL,Y
18,PVT,F,GEN,192309,BUSINESS,YES,87,1,NO,8,URBAN,N
17,GOVT,F,GEN,67424,OTHERS,NO,61,1,YES,12,RURAL,N
17,PVT,F,GEN,186382,ACCOUNTANT,NO,88,1,NO,8,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,84,2,NO,9,URBAN,N
16,PVT,F,GEN,256949,LABOUR,NO,85,2,NO,12,RURAL,N
16,GOVT,M,SC,78647,OTHERS,NO,62,4,YES,4,RURAL,Y
12,GOVT,M,GEN,90947,TEACHER,NO,65,3,YES,10,RURAL,Y
15,GOVT,F,GEN,130847,ACCOUNTANT,NO,78,2,NO,9,URBAN,Y
17,GOVT,F,ST,221453,ACCOUNTANT,NO,85,1,NO,11,URBAN,N
18,GOVT,M,GEN,123870,ACCOUNTANT,NO,65,2,YES,4,RURAL,Y
17,PVT,M,GEN,297072,LABOUR,YES,89,1,NO,11,URBAN,N
18,PVT,M,GEN,300000,BUSINESS,NO,89,1,NO,8,URBAN,N
18,PVT,F,GEN,216981,BUSINESS,YES,89,1,NO,8,URBAN,N
13,GOVT,M,SC,59000,LABOUR,YES,55,5,YES,3,RURAL,Y
18,PVT,F,GEN,147119,ACCOUNTANT,YES,83,1,NO,9,URBAN,N
18,PVT,F,GEN,89803,LABOUR,YES,89,2,NO,8,URBAN,Y
12,GOVT,M,OBC,70754,OTHERS,NO,63,5,YES,5,RURAL,Y
16,GOVT,M,GEN,81931,LABOUR,NO,77,2,NO,3,RURAL,N
17,PVT,F,GEN,201088,ACCOUNTANT,YES,83,3,NO,8,URBAN,Y
12,GOVT,M,SC,59000,LABOUR,NO,63,4,NO,3,URBAN,Y
17,PVT,F,GEN,281502,ACCOUNTANT,NO,83,1,YES,9,URBAN,N
16,PVT,F,GEN,300000,TEACHER,YES,88,2,NO,8,URBAN,N
16,GOVT,F,GEN,107377,OTHERS,NO,63,1,YES,12,RURAL,Y
15,PVT,M,GEN,99338,TEACHER,YES,89,5,NO,3,RURAL,N
13,GOVT,M,OBC,75720,FARMER,NO,58,4,YES,4,RURAL,Y
17,PVT,F,GEN,148454,BUSINESS,NO,64,1,YES,9,URBAN,N
17,PVT,F,GEN,110887,ACCOUNTANT,NO,88,1,NO,8,URBAN,N
12,GOVT,F,ST,101200,LABOUR,NO,76,4,YES,5,RURAL,Y
13,GOVT,M,GEN,95589,LABOUR,NO,61,4,YES,3,RURAL,Y
12,GOVT,M,GEN,93014,OTHERS,NO,66,3,YES,3,RURAL,Y
18,PVT,M,GEN,243437,TEACHER,NO,86,1,YES,11,RURAL,N
17,PVT,F,GEN,211258,BUSINESS,NO,89,1,NO,9,URBAN,N
13,GOVT,M,SC,76542,LABOUR,NO,55,4,NO,3,RURAL,Y
17,PVT,F,GEN,179632,BUSINESS,YES,86,3,NO,8,URBAN,N
17,GOVT,F,GEN,261741,OTHERS,NO,89,1,YES,10,RURAL,N
13,GOVT,F,ST,59000,LABOUR,NO,68,4,NO,4,URBAN,N
17,PVT,F,GEN,231517,OTHERS,YES,89,1,NO,10,RURAL,N
17,PVT,F,GEN,176200,TEACHER,YES,89,2,NO,9,RURAL,N
18,PVT,F,GEN,152246,ACCOUNTANT,NO,89,2,NO,8,RURAL,N
17,GOVT,M,SC,108533,FARMER,YES,76,2,NO,11,RURAL,N
13,GOVT,M,GEN,79196,LABOUR,NO,60,4,NO,4,RURAL,Y
17,PVT,F,GEN,122905,BUSINESS,NO,78,1,NO,8,RURAL,Y
18,GOVT,F,GEN,207383,ACCOUNTANT,NO,86,1,NO,11,RURAL,N
15,PVT,F,GEN,300000,TEACHER,NO,89,2,NO,10,RURAL,N
17,PVT,F,SC,243052,ACCOUNTANT,YES,81,2,NO,7,URBAN,Y
17,PVT,F,GEN,145736,ACCOUNTANT,NO,82,1,NO,11,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,YES,85,2,NO,8,RURAL,N
13,GOVT,M,OBC,97673,LABOUR,NO,76,2,YES,4,RURAL,Y
12,GOVT,M,ST,59000,LABOUR,YES,71,5,NO,4,URBAN,Y
15,GOVT,M,ST,133193,LABOUR,YES,74,4,YES,4,RURAL,Y
18,PVT,F,GEN,171188,BUSINESS,NO,85,1,NO,8,URBAN,N
18,PVT,F,GEN,300000,BUSINESS,NO,79,2,NO,8,URBAN,N
16,GOVT,F,SC,59000,LABOUR,NO,84,5,YES,5,RURAL,Y
17,PVT,M,GEN,248412,TEACHER,NO,89,2,NO,8,URBAN,N
17,PVT,F,GEN,209378,FARMER,YES,82,2,NO,7,URBAN,N
14,GOVT,M,SC,100141,OTHERS,NO,74,1,YES,4,RURAL,Y
18,PVT,F,ST,154662,TEACHER,NO,89,1,YES,10,RURAL,N
12,GOVT,M,GEN,109863,LABOUR,NO,61,4,YES,3,RURAL,Y
18,GOVT,F,GEN,122768,TEACHER,YES,71,4,NO,3,URBAN,Y
14,GOVT,M,SC,105122,FARMER,NO,77,1,YES,4,RURAL,Y
18,GOVT,M,OBC,77834,LABOUR,NO,55,3,YES,4,RURAL,Y
17,PVT,F,GEN,199916,ACCOUNTANT,YES,88,2,NO,11,URBAN,N
16,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,9,URBAN,N
17,GOVT,F,GEN,134432,BUSINESS,NO,89,2,NO,10,URBAN,N
12,GOVT,M,OBC,128336,FARMER,NO,65,3,YES,5,RURAL,Y
17,PVT,F,GEN,300000,OTHERS,NO,89,2,NO,7,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,89,2,NO,10,URBAN,N
14,GOVT,M,SC,59000,LABOUR,NO,63,5,YES,3,RURAL,Y
11,GOVT,M,ST,59000,BUSINESS,YES,65,4,YES,3,RURAL,Y
16,PVT,F,GEN,201435,TEACHER,YES,83,2,NO,8,URBAN,N
18,GOVT,M,OBC,109169,OTHERS,NO,76,1,YES,12,RURAL,N
18,GOVT,M,GEN,59000,FARMER,YES,65,3,NO,3,URBAN,Y
12,GOVT,M,ST,59000,FARMER,YES,61,4,NO,3,RURAL,Y
11,GOVT,M,GEN,82436,LABOUR,NO,62,5,NO,3,RURAL,Y
13,GOVT,M,SC,96742,ACCOUNTANT,NO,61,3,NO,3,RURAL,Y
17,PVT,F,GEN,255764,ACCOUNTANT,NO,84,1,NO,11,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
11,GOVT,M,OBC,59000,OTHERS,YES,75,4,NO,3,URBAN,Y
17,PVT,F,GEN,233441,ACCOUNTANT,NO,88,2,NO,11,RURAL,Y
18,PVT,F,GEN,146097,ACCOUNTANT,NO,73,1,NO,9,URBAN,N
18,PVT,F,GEN,233118,ACCOUNTANT,YES,84,1,NO,11,URBAN,N
13,GOVT,M,OBC,62492,FARMER,NO,56,4,YES,4,RURAL,Y
18,PVT,F,GEN,300000,TEACHER,NO,79,2,NO,9,URBAN,N
14,GOVT,M,SC,59000,LABOUR,NO,68,5,YES,3,RURAL,Y
14,GOVT,M,OBC,107610,OTHERS,NO,64,3,YES,4,RURAL,Y
13,GOVT,M,OBC,77401,LABOUR,NO,70,4,YES,4,RURAL,Y
16,PVT,F,GEN,293324,ACCOUNTANT,NO,88,2,NO,10,RURAL,N
16,PVT,F,GEN,224812,OTHERS,NO,88,1,YES,10,RURAL,N
12,GOVT,M,OBC,81145,LABOUR,NO,68,4,YES,4,RURAL,N
14,GOVT,M,GEN,85406,FARMER,NO,65,5,YES,3,RURAL,N
17,GOVT,F,GEN,128081,ACCOUNTANT,NO,61,1,NO,12,RURAL,Y
18,PVT,M,GEN,300000,FARMER,NO,83,1,YES,7,RURAL,N
9,GOVT,M,SC,122778,LABOUR,NO,61,3,NO,4,RURAL,Y
16,GOVT,M,GEN,75709,LABOUR,NO,56,5,YES,5,RURAL,Y
17,PVT,F,GEN,272501,BUSINESS,YES,89,2,NO,9,URBAN,N
17,PVT,F,GEN,270305,BUSINESS,NO,89,1,NO,9,RURAL,N
14,GOVT,M,SC,59000,LABOUR,YES,55,5,NO,3,RURAL,Y
13,GOVT,M,SC,95660,LABOUR,NO,61,4,YES,5,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,NO,89,2,NO,10,URBAN,N
15,GOVT,M,SC,64110,LABOUR,NO,55,5,NO,3,RURAL,Y
13,GOVT,M,SC,76758,TEACHER,NO,75,2,NO,10,URBAN,Y
18,PVT,F,GEN,122226,OTHERS,NO,89,1,NO,8,URBAN,N
11,GOVT,F,ST,112410,LABOUR,NO,72,4,YES,11,RURAL,Y
13,GOVT,M,SC,130375,OTHERS,NO,75,4,NO,3,RURAL,N
14,GOVT,M,OBC,74259,OTHERS,NO,61,5,YES,5,RURAL,Y
13,GOVT,M,SC,218031,BUSINESS,NO,74,3,NO,3,RURAL,N
16,PVT,F,OBC,224331,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
18,PVT,F,GEN,248444,ACCOUNTANT,YES,88,2,NO,11,RURAL,N
18,PVT,F,GEN,206206,TEACHER,YES,86,5,NO,8,URBAN,N
13,GOVT,M,SC,79266,LABOUR,NO,55,5,YES,3,RURAL,Y
15,GOVT,M,SC,59000,LABOUR,NO,57,4,YES,4,RURAL,Y
14,GOVT,M,OBC,95916,FARMER,YES,77,3,NO,3,RURAL,Y
16,PVT,F,ST,201153,ACCOUNTANT,NO,81,2,NO,9,URBAN,N
13,GOVT,M,OBC,59000,FARMER,NO,55,5,YES,5,RURAL,Y
18,PVT,F,SC,269340,LABOUR,YES,75,2,NO,11,URBAN,N
10,GOVT,M,SC,62847,OTHERS,NO,57,4,YES,3,RURAL,Y
13,GOVT,F,SC,99681,TEACHER,NO,58,4,YES,3,URBAN,Y
14,GOVT,M,SC,59000,LABOUR,NO,69,4,YES,5,RURAL,Y
18,GOVT,F,GEN,300000,OTHERS,NO,81,1,NO,9,URBAN,N
17,PVT,F,GEN,264236,ACCOUNTANT,YES,89,2,NO,10,URBAN,N
17,PVT,M,GEN,126971,FARMER,NO,83,1,NO,10,RURAL,N
16,PVT,M,GEN,237653,LABOUR,YES,87,1,NO,9,URBAN,N
16,PVT,F,GEN,155222,ACCOUNTANT,YES,89,1,NO,8,URBAN,N
13,GOVT,M,ST,81443,LABOUR,NO,55,5,YES,3,RURAL,Y
12,GOVT,M,SC,71232,LABOUR,YES,62,4,YES,4,RURAL,Y
15,GOVT,M,SC,102880,BUSINESS,NO,76,2,YES,6,RURAL,Y
15,GOVT,F,GEN,224693,BUSINESS,NO,76,1,NO,10,URBAN,Y
15,GOVT,M,SC,93498,OTHERS,NO,55,5,YES,4,RURAL,Y
16,GOVT,F,OBC,212522,LABOUR,NO,89,1,NO,9,URBAN,N
18,PVT,F,GEN,285192,BUSINESS,NO,74,1,NO,9,RURAL,N
13,GOVT,F,SC,94756,LABOUR,YES,58,2,YES,5,URBAN,N
10,PVT,M,GEN,116384,OTHERS,NO,60,2,NO,10,RURAL,Y
16,PVT,F,GEN,300000,TEACHER,NO,86,1,YES,9,RURAL,Y
18,PVT,F,GEN,126816,OTHERS,NO,88,2,NO,10,URBAN,N
18,PVT,M,ST,176529,TEACHER,NO,84,1,YES,4,RURAL,N
18,GOVT,M,OBC,119669,OTHERS,NO,62,1,NO,6,RURAL,N
17,PVT,F,GEN,253316,ACCOUNTANT,YES,89,2,NO,9,URBAN,N
18,PVT,F,GEN,226091,OTHERS,YES,89,2,NO,9,URBAN,Y
15,GOVT,F,GEN,136080,LABOUR,NO,74,2,NO,3,RURAL,N
17,PVT,F,GEN,249352,BUSINESS,NO,86,2,NO,8,RURAL,N
17,GOVT,F,GEN,159637,BUSINESS,YES,89,1,NO,8,URBAN,N
12,GOVT,M,OBC,84986,FARMER,NO,60,5,YES,3,RURAL,Y
17,GOVT,F,GEN,236798,ACCOUNTANT,NO,89,1,NO,11,RURAL,N
18,PVT,F,GEN,295527,BUSINESS,NO,89,1,NO,9,URBAN,N
16,GOVT,M,SC,89914,FARMER,NO,73,5,YES,5,RURAL,Y
13,GOVT,F,SC,59000,LABOUR,NO,62,4,YES,3,URBAN,Y
14,PVT,M,ST,102232,TEACHER,NO,64,3,NO,5,RURAL,Y
14,PVT,F,GEN,103780,BUSINESS,NO,87,2,NO,9,URBAN,N
18,GOVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
12,GOVT,M,SC,59000,LABOUR,NO,62,5,YES,4,RURAL,Y
11,GOVT,M,SC,97705,TEACHER,NO,74,3,YES,3,RURAL,Y
11,GOVT,M,SC,94559,LABOUR,NO,67,3,NO,4,RURAL,Y
14,GOVT,M,SC,135649,LABOUR,NO,61,3,YES,4,RURAL,Y
16,PVT,F,GEN,128931,TEACHER,NO,76,3,NO,7,RURAL,Y
18,PVT,F,GEN,181067,BUSINESS,NO,89,1,NO,10,RURAL,N
13,GOVT,M,SC,125314,LABOUR,NO,55,5,YES,3,RURAL,Y
13,GOVT,M,OBC,63329,OTHERS,YES,66,4,NO,4,RURAL,Y
10,GOVT,M,OBC,59856,LABOUR,YES,73,4,YES,3,RURAL,Y
16,GOVT,M,OBC,103267,OTHERS,NO,59,3,YES,10,RURAL,Y
16,GOVT,F,SC,83249,LABOUR,NO,75,1,NO,10,URBAN,N
18,PVT,F,GEN,146177,TEACHER,NO,77,3,NO,8,RURAL,N
16,GOVT,M,ST,124425,OTHERS,YES,68,3,NO,8,RURAL,Y
13,GOVT,M,OBC,97948,LABOUR,NO,65,4,YES,4,RURAL,Y
16,GOVT,M,GEN,106351,ACCOUNTANT,YES,69,1,YES,4,RURAL,Y
18,PVT,F,GEN,136961,FARMER,NO,67,2,NO,10,RURAL,N
15,GOVT,M,OBC,68108,FARMER,YES,59,5,YES,3,RURAL,Y
14,GOVT,M,SC,69529,ACCOUNTANT,NO,57,4,NO,4,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,YES,89,3,NO,7,URBAN,N
12,GOVT,M,OBC,83033,LABOUR,NO,56,5,NO,3,RURAL,Y
18,PVT,F,ST,123750,OTHERS,NO,65,1,YES,10,RURAL,N
14,GOVT,M,SC,69934,FARMER,NO,73,4,YES,4,RURAL,Y
16,PVT,F,GEN,300000,BUSINESS,YES,89,2,NO,9,URBAN,N
9,GOVT,M,GEN,88082,LABOUR,NO,75,5,NO,3,RURAL,Y
17,PVT,F,GEN,263498,BUSINESS,NO,58,1,NO,9,URBAN,N
16,GOVT,F,SC,109319,LABOUR,NO,76,1,NO,10,RURAL,Y
12,GOVT,M,ST,71712,OTHERS,NO,68,4,YES,4,RURAL,Y
18,PVT,F,GEN,270379,LABOUR,YES,89,2,NO,9,URBAN,N
18,PVT,F,GEN,240539,BUSINESS,NO,67,2,NO,9,URBAN,N
18,GOVT,M,SC,157213,LABOUR,NO,64,1,NO,11,RURAL,Y
17,PVT,F,GEN,185483,TEACHER,YES,89,2,NO,9,URBAN,N
15,GOVT,M,OBC,105151,OTHERS,NO,60,3,YES,4,RURAL,Y
12,GOVT,M,GEN,86689,TEACHER,NO,70,3,YES,4,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,62,1,NO,9,URBAN,N
18,GOVT,F,ST,300000,OTHERS,YES,87,3,NO,9,URBAN,N
17,PVT,F,GEN,137582,ACCOUNTANT,NO,60,1,NO,10,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
12,GOVT,M,ST,59000,LABOUR,YES,61,5,NO,3,RURAL,Y
13,GOVT,M,ST,105265,FARMER,NO,58,4,YES,3,RURAL,Y
11,GOVT,M,ST,112739,FARMER,NO,57,5,YES,3,RURAL,Y
17,PVT,M,GEN,300000,ACCOUNTANT,NO,86,1,NO,10,URBAN,N
12,GOVT,M,SC,108168,LABOUR,NO,62,5,YES,3,RURAL,Y
18,PVT,F,GEN,114276,BUSINESS,YES,74,2,NO,9,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,86,2,NO,9,URBAN,N
17,PVT,F,GEN,168009,OTHERS,NO,89,1,YES,12,RURAL,N
11,GOVT,M,GEN,96721,LABOUR,NO,65,4,YES,4,RURAL,Y
14,GOVT,M,GEN,119585,ACCOUNTANT,NO,55,3,NO,3,URBAN,Y
17,PVT,F,OBC,133867,ACCOUNTANT,NO,77,2,NO,9,URBAN,N
12,GOVT,M,GEN,98722,LABOUR,NO,62,1,YES,4,RURAL,Y
10,GOVT,M,OBC,112748,LABOUR,NO,64,3,YES,4,RURAL,Y
10,GOVT,M,OBC,93746,LABOUR,NO,57,2,YES,5,RURAL,Y
14,GOVT,M,SC,105808,LABOUR,NO,72,3,YES,4,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,NO,84,1,NO,11,URBAN,N
16,PVT,F,OBC,135451,ACCOUNTANT,NO,88,2,NO,9,URBAN,N
14,GOVT,M,GEN,98233,ACCOUNTANT,YES,74,5,NO,3,RURAL,Y
18,PVT,M,GEN,136383,ACCOUNTANT,NO,86,2,NO,11,RURAL,N
17,GOVT,M,GEN,129332,BUSINESS,NO,68,1,NO,9,URBAN,N
17,GOVT,F,ST,264980,ACCOUNTANT,NO,89,2,NO,10,RURAL,N
13,GOVT,F,SC,87245,LABOUR,NO,76,4,YES,9,URBAN,N
18,PVT,F,GEN,300000,OTHERS,YES,87,2,NO,9,URBAN,N
12,GOVT,M,ST,59000,TEACHER,YES,75,4,YES,3,URBAN,Y
18,GOVT,F,GEN,112043,ACCOUNTANT,NO,75,1,YES,12,RURAL,N
16,PVT,F,GEN,300000,BUSINESS,YES,88,1,NO,8,URBAN,N
18,GOVT,F,GEN,76963,FARMER,NO,65,1,NO,10,RURAL,Y
14,GOVT,M,SC,59000,LABOUR,NO,58,5,YES,3,RURAL,Y
18,PVT,F,GEN,287660,BUSINESS,NO,86,1,NO,10,RURAL,N
15,GOVT,M,SC,67585,LABOUR,NO,61,4,YES,3,RURAL,Y
16,PVT,F,GEN,228897,BUSINESS,YES,86,2,NO,8,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,9,URBAN,N
18,GOVT,F,OBC,152190,OTHERS,NO,79,1,YES,11,URBAN,N
13,GOVT,M,OBC,102086,FARMER,NO,63,4,YES,4,RURAL,Y
13,GOVT,M,OBC,146510,FARMER,NO,66,3,YES,4,RURAL,Y
16,PVT,F,GEN,290278,ACCOUNTANT,YES,89,1,NO,10,RURAL,N
13,GOVT,M,GEN,85525,TEACHER,NO,68,4,YES,3,RURAL,Y
